COD_ESCOLA,AFDG1,AFDG2,AFDG3,AFDG4,AFDG5,ATU_TOTAL,DSU_TOTAL,ICG_ESCOLA,NIVEL1,NIVEL2,NIVEL3,NIVEL4,NIVEL5,NIVEL6,IRD_ESCOLA,TDI_TOTAL,TAPROV,TREPROV
26128160,44.70,0.00,53.20,2.10,0.00,31.00,100.00,"Nível 6",0.00,0.00,19.10,47.60,19.00,14.30,3.10,36.30,97.20,2.80
26128179,57.20,0.00,42.80,0.00,0.00,34.40,100.00,"Nível 6",0.00,0.00,16.70,63.30,10.00,10.00,3.70,48.80,93.50,6.20
26128195,58.30,0.00,30.00,11.70,0.00,32.40,100.00,"Nível 4",0.00,10.00,10.00,50.00,30.00,0.00,2.90,33.30,89.40,7.70
26128250,53.80,0.00,38.50,0.00,7.70,24.00,88.90,"Nível 4",0.00,0.00,0.00,66.70,11.10,22.20,3.80,12.50,98.50,1.50
26128403,48.10,0.00,36.50,15.40,0.00,35.30,100.00,"Nível 2",0.00,13.30,26.70,46.70,13.30,0.00,2.90,12.40,97.40,2.60
26128420,56.40,0.00,30.90,4.20,8.50,36.90,95.30,"Nível 6",0.00,0.00,23.20,41.90,11.60,23.30,3.40,31.00,97.80,2.10
26128497,55.40,0.00,43.20,1.40,0.00,34.70,100.00,"Nível 3",6.50,25.80,38.70,22.60,3.20,3.20,3.60,14.40,82.50,14.30
26128527,54.40,0.00,43.70,0.00,1.90,35.30,95.70,"Nível 5",0.00,0.00,4.40,52.20,13.00,30.40,3.00,49.40,87.50,8.60
26128586,45.30,0.00,54.70,0.00,0.00,41.90,100.00,"Nível 6",0.00,0.00,26.20,47.40,21.10,5.30,3.40,31.30,89.80,9.90
26128594,35.70,0.00,57.10,0.00,7.20,31.50,94.40,"Nível 5",5.50,5.60,5.60,44.40,11.10,27.80,3.10,40.70,84.30,6.20
26128721,66.70,0.00,33.30,0.00,0.00,36.60,100.00,"Nível 4",8.30,12.50,41.70,20.80,4.20,12.50,4.00,18.30,90.80,9.20
26128829,57.10,0.00,42.90,0.00,0.00,23.70,100.00,"Nível 3",0.00,10.00,40.00,10.00,10.00,30.00,3.20,5.60,95.80,2.80
26128853,50.00,7.10,21.40,7.10,14.40,34.30,88.20,"Nível 4",0.00,0.00,17.60,76.50,0.00,5.90,3.60,8.80,94.90,3.60
26129086,69.70,0.00,30.30,0.00,0.00,32.20,100.00,"Nível 4",0.00,4.80,85.70,9.50,0.00,0.00,3.30,15.90,92.20,7.80
26129094,61.00,3.90,32.00,3.10,0.00,39.90,100.00,"Nível 4",0.00,14.70,50.00,29.40,0.00,5.90,3.80,14.70,88.60,11.40
26129124,59.50,0.00,39.90,0.60,0.00,32.80,100.00,"Nível 6",0.00,9.00,18.20,36.40,27.30,9.10,3.30,45.30,93.40,6.60
26129302,0.00,0.00,50.00,0.00,50.00,7.50,50.00,"Nível 5",50.00,0.00,0.00,50.00,0.00,0.00,2.60,0.00,6.70,6.70
26129388,54.00,0.00,45.50,0.50,0.00,36.30,100.00,"Nível 4",0.00,0.00,19.30,61.50,11.50,7.70,3.20,39.90,99.20,0.80
26129566,38.00,0.00,55.30,6.70,0.00,38.60,100.00,"Nível 5",0.00,10.00,20.00,45.00,20.00,5.00,2.90,37.80,87.00,10.80
26129817,50.20,0.00,47.80,0.00,2.00,31.70,96.20,"Nível 5",0.00,0.00,19.30,53.80,23.10,3.80,3.60,32.00,98.70,1.30
26129868,66.40,3.90,23.70,6.00,0.00,39.80,100.00,"Nível 3",0.00,4.00,48.00,44.00,4.00,0.00,3.30,4.80,98.50,1.50
26129922,43.50,9.70,45.60,1.20,0.00,41.70,100.00,"Nível 6",0.00,0.00,14.80,55.60,22.20,7.40,3.30,25.80,98.80,1.20
26130114,66.70,0.00,25.00,8.30,0.00,37.90,100.00,"Nível 2",0.00,5.90,58.80,29.40,0.00,5.90,3.90,8.90,98.80,1.20
26130130,45.50,9.10,18.20,0.00,27.20,12.30,66.70,"Nível 3",0.00,22.30,22.20,44.40,11.10,0.00,3.20,8.10,94.30,5.70
26130149,53.00,3.30,32.20,9.00,2.50,38.60,95.70,"Nível 5",4.30,0.00,23.40,38.30,19.10,14.90,3.20,36.60,86.80,13.10
