COD_ESCOLA,AFDG1,AFDG2,AFDG3,AFDG4,AFDG5,ATU_TOTAL,DSU_TOTAL,ICG_ESCOLA,NIVEL1,NIVEL2,NIVEL3,NIVEL4,NIVEL5,NIVEL6,IRD_ESCOLA,TDI_TOTAL,TAPROV,TREPROV
26154803,36.00,0.00,54.00,0.00,10.00,30.60,88.00,"Nível 4",4.00,4.00,52.00,28.00,4.00,8.00,3.70,41.60,90.80,3.10
26155435,0.00,0.00,15.40,0.00,84.60,17.00,20.00,"Nível 5",0.00,40.00,40.00,20.00,0.00,0.00,3.30,66.70,70.60,3.90
26155559,52.60,0.00,12.20,17.90,17.30,37.30,83.30,"Nível 4",0.00,22.20,77.80,0.00,0.00,0.00,3.30,22.30,98.00,2.00
26155567,39.00,0.00,51.20,4.90,4.90,26.00,85.70,"Nível 2",28.50,42.90,0.00,28.60,0.00,0.00,4.40,18.40,82.20,12.40
26156202,73.80,5.50,6.20,9.00,5.50,37.80,93.50,"Nível 3",0.00,0.00,48.40,35.50,12.90,3.20,3.40,6.00,92.00,8.00
26156296,23.10,0.00,76.90,0.00,0.00,17.30,100.00,"Nível 5",0.00,0.00,12.50,62.50,0.00,25.00,4.50,15.40,80.80,15.40
26156318,34.10,0.00,13.60,0.00,52.30,32.00,40.00,"Nível 3",0.00,20.00,60.00,10.00,10.00,0.00,3.00,19.80,88.20,9.70
26156407,52.40,0.00,23.80,16.70,7.10,50.70,94.10,"Nível 3",0.00,11.80,41.20,23.50,17.60,5.90,3.60,2.30,97.70,2.30
26156482,15.40,0.00,7.70,0.00,76.90,7.00,33.30,"Nível 3",0.00,0.00,88.90,11.10,0.00,0.00,2.80,0.00,100.00,0.00
26157233,87.80,0.00,12.20,0.00,0.00,39.00,100.00,"Nível 3",0.00,15.30,23.10,30.80,7.70,23.10,4.00,10.30,91.10,8.90
26157268,72.70,0.00,12.10,0.00,15.20,12.30,90.90,"Nível 2",0.00,0.00,36.40,54.50,0.00,9.10,3.50,5.40,97.30,2.70
26157373,61.90,0.00,33.30,0.00,4.80,20.30,90.90,"Nível 4",0.00,9.00,9.10,36.40,18.20,27.30,5.00,19.70,98.40,1.60
26159830,61.70,0.00,23.30,5.00,10.00,29.70,90.00,"Nível 2",0.00,20.00,25.00,20.00,15.00,20.00,2.30,10.10,85.20,14.80
26160307,81.50,1.80,6.40,5.40,4.90,45.00,94.60,"Nível 4",1.80,3.60,23.20,58.90,8.90,3.60,3.90,5.00,98.10,1.90
26160870,25.00,0.00,25.00,16.70,33.30,13.00,77.80,"Nível 3",22.20,0.00,77.80,0.00,0.00,0.00,4.00,7.70,100.00,0.00
26162016,64.80,5.60,16.70,7.40,5.50,15.30,94.70,"Nível 4",0.00,10.50,57.90,21.10,0.00,10.50,3.10,6.50,97.80,2.20
26162032,69.70,0.00,15.20,11.20,3.90,39.30,96.80,"Nível 2",0.00,9.70,71.00,16.10,0.00,3.20,4.00,7.90,94.40,4.40
26162130,27.30,0.00,3.00,6.10,63.60,17.00,44.40,"Nível 4",0.00,33.40,11.10,44.40,11.10,0.00,3.80,11.80,94.10,5.90
26162210,76.30,0.00,15.80,5.30,2.60,40.60,96.60,"Nível 4",0.00,0.00,31.00,41.40,20.70,6.90,3.40,5.20,90.70,8.40
26162270,36.80,0.00,23.70,7.90,31.60,19.70,66.70,"Nível 2",0.00,0.00,25.00,50.00,8.30,16.70,2.60,16.90,96.60,3.40
26162644,41.70,0.00,50.00,0.00,8.30,26.30,88.90,"Nível 4",0.00,0.00,11.20,44.40,11.10,33.30,3.80,8.90,100.00,0.00
26163039,66.40,2.90,14.30,6.70,9.70,40.50,92.20,"Nível 4",0.00,2.00,68.60,23.50,2.00,3.90,3.70,2.20,97.70,2.30
26163411,71.10,0.00,21.10,0.00,7.80,41.70,92.30,"Nível 3",0.00,15.30,30.80,30.80,15.40,7.70,4.80,14.40,90.60,9.40
26163454,33.30,0.00,33.30,0.00,33.40,13.00,66.70,"Nível 4",0.00,0.00,0.00,83.30,0.00,16.70,3.80,38.50,100.00,0.00
26163624,54.20,6.30,20.80,0.00,18.70,28.00,83.30,"Nível 2",0.00,38.80,27.80,27.80,5.60,0.00,3.00,8.30,91.30,6.30
26163748,42.90,7.10,28.60,7.10,14.30,29.30,80.00,"Nível 4",0.00,10.00,20.00,60.00,0.00,10.00,2.90,0.00,97.70,2.30
26163756,30.80,0.00,38.50,0.00,30.70,5.00,62.50,"Nível 4",0.00,0.00,75.00,25.00,0.00,0.00,3.80,0.00,100.00,0.00
26163888,38.50,0.00,23.10,0.00,38.40,10.00,60.00,"Nível 4",20.00,0.00,0.00,80.00,0.00,0.00,3.10,10.00,100.00,0.00
26164280,46.70,0.00,20.00,26.70,6.60,23.00,91.70,"Nível 2",0.00,8.30,41.70,33.30,0.00,16.70,2.40,1.40,100.00,0.00
26165112,42.10,1.80,50.90,5.20,0.00,29.30,100.00,"Nível 4",0.00,0.00,8.70,73.90,8.70,8.70,3.70,58.80,74.40,25.60
26165783,48.70,3.20,46.80,1.30,0.00,32.20,100.00,"Nível 5",0.00,9.10,9.10,40.90,27.30,13.60,3.80,43.20,91.90,8.10
26166887,61.40,0.00,27.30,4.50,6.80,30.00,92.30,"Nível 2",0.00,15.30,30.80,46.20,7.70,0.00,NULL,12.20,100.00,0.00
26167115,40.40,5.80,26.90,12.20,14.70,35.90,93.30,"Nível 4",0.00,0.00,6.60,60.00,26.70,6.70,3.00,10.20,91.20,8.60
26167158,54.80,0.00,45.20,0.00,0.00,31.10,100.00,"Nível 5",0.00,10.00,30.00,35.00,20.00,5.00,3.20,51.30,80.80,7.80
26168154,44.30,0.00,32.10,7.60,16.00,37.20,82.40,"Nível 4",0.00,5.90,11.80,58.80,17.60,5.90,2.90,8.90,94.10,5.90
26168286,8.10,0.00,10.80,13.50,67.60,12.00,54.50,"Nível 3",9.10,9.10,63.60,0.00,0.00,18.20,2.90,11.10,100.00,0.00
26168545,16.70,0.00,5.60,11.10,66.60,15.50,75.00,"Nível 4",0.00,0.00,0.00,75.00,0.00,25.00,3.70,6.50,93.50,6.50
26168820,49.40,0.00,36.10,7.20,7.30,36.80,91.70,"Nível 4",0.00,0.00,8.40,83.30,8.30,0.00,2.20,9.50,96.80,3.20
26169029,20.30,0.00,73.10,0.00,6.60,31.00,92.90,"Nível 5",7.20,32.10,21.40,35.70,3.60,0.00,3.50,30.10,85.50,4.00
26169193,39.00,0.00,51.20,9.80,0.00,25.70,100.00,"Nível 4",0.00,0.00,0.00,66.70,33.30,0.00,3.20,38.30,96.40,3.60
26169223,55.20,0.00,44.80,0.00,0.00,23.50,100.00,"Nível 5",0.00,0.00,33.40,40.00,13.30,13.30,3.40,48.20,94.80,4.40
26169410,56.00,0.00,32.00,0.00,12.00,37.50,83.30,"Nível 4",0.00,0.00,41.70,50.00,0.00,8.30,2.40,13.30,98.70,1.30
26169975,45.80,0.00,52.50,0.00,1.70,36.10,95.80,"Nível 5",0.00,0.00,8.30,50.00,16.70,25.00,3.40,38.20,76.10,17.10
26170515,57.10,0.00,33.90,0.00,9.00,30.30,86.70,"Nível 3",0.00,6.70,33.30,40.00,13.30,6.70,2.50,10.10,88.70,11.30
26170833,33.30,0.00,13.90,33.30,19.50,14.30,72.70,"Nível 2",0.00,36.30,9.10,45.50,9.10,0.00,2.20,14.00,93.00,2.30
26170841,22.20,0.00,8.30,8.30,61.20,28.00,45.50,"Nível 2",0.00,9.10,9.10,72.70,9.10,0.00,NULL,9.50,91.70,7.10
26171155,60.00,0.00,27.50,0.00,12.50,13.00,84.60,"Nível 3",0.00,0.00,30.70,30.80,15.40,23.10,4.40,15.40,81.10,16.20
26172232,57.70,0.00,26.90,7.70,7.70,27.80,94.10,"Nível 4",0.00,5.90,5.90,58.80,11.80,17.60,3.80,8.10,93.60,4.50
26172534,7.90,0.00,28.90,0.00,63.20,19.70,33.30,"Nível 4",8.30,8.30,25.00,41.70,16.70,0.00,2.00,13.60,96.60,1.70
26172712,63.90,0.00,36.10,0.00,0.00,43.90,100.00,"Nível 2",0.00,0.00,51.80,37.90,10.30,0.00,3.50,10.50,92.50,7.50
26172852,79.40,0.00,20.60,0.00,0.00,41.80,100.00,"Nível 4",0.00,11.10,16.70,33.30,27.80,11.10,3.50,7.20,96.30,2.80
26172860,63.70,6.30,12.30,5.70,12.00,41.90,88.50,"Nível 2",0.00,5.90,67.30,19.20,3.80,3.80,4.20,2.50,98.80,1.10
26172879,48.70,0.00,41.00,0.00,10.30,30.00,91.70,"Nível 5",0.00,0.00,8.40,33.30,25.00,33.30,3.20,2.20,96.70,3.30
26173280,62.10,0.00,12.10,12.10,13.70,30.70,83.30,"Nível 4",0.00,5.50,38.90,27.80,11.10,16.70,4.10,7.40,89.70,8.80
26173441,25.00,0.00,8.30,0.00,66.70,13.00,50.00,"Nível 3",0.00,0.00,50.00,37.50,12.50,0.00,3.20,15.40,94.90,2.60
26174189,41.50,0.00,15.10,0.00,43.40,43.80,64.30,"Nível 3",0.00,0.00,7.10,64.30,28.60,0.00,2.90,7.30,99.10,0.90
26174200,9.40,0.00,9.40,0.00,81.20,22.00,16.70,"Nível 4",0.00,16.70,0.00,83.30,0.00,0.00,2.70,6.40,98.50,1.50
26174260,42.90,0.00,14.30,11.40,31.40,38.30,75.00,"Nível 4",0.00,16.70,8.30,58.30,0.00,16.70,3.00,8.70,99.10,0.00
26174464,39.40,0.00,58.20,0.00,2.40,32.50,95.70,"Nível 3",4.50,4.30,43.50,30.40,4.30,13.00,4.00,41.50,96.60,3.10
26174510,29.20,0.00,25.00,0.00,45.80,8.50,66.70,"Nível 3",0.00,0.00,50.00,33.30,16.70,0.00,3.30,0.00,100.00,0.00
26174588,40.00,0.00,22.20,11.10,26.70,26.00,84.60,"Nível 3",0.00,23.00,46.20,15.40,7.70,7.70,4.00,14.10,93.50,6.50
26174774,61.80,0.00,38.20,0.00,0.00,15.00,100.00,"Nível 3",0.00,0.00,41.70,25.00,8.30,25.00,2.70,17.80,97.60,2.40
26175207,25.70,0.00,14.30,0.00,60.00,17.70,50.00,"Nível 4",0.00,0.00,8.40,83.30,8.30,0.00,3.90,11.30,94.30,5.70
26175240,44.70,0.00,38.30,0.00,17.00,23.30,80.00,"Nível 3",0.00,0.00,20.00,53.30,20.00,6.70,3.20,7.10,88.60,11.40
26175339,15.00,0.00,70.00,0.00,15.00,14.30,80.00,"Nível 4",0.00,0.00,0.00,80.00,0.00,20.00,2.70,18.60,86.00,14.00
26175509,25.70,0.00,74.30,0.00,0.00,22.70,100.00,"Nível 3",0.00,0.00,12.50,12.50,75.00,0.00,3.60,50.00,81.90,18.10
26175533,37.00,0.00,49.60,0.00,13.40,35.30,76.50,"Nível 3",0.00,0.00,70.60,29.40,0.00,0.00,NULL,17.60,96.00,4.00
26176084,28.10,0.00,28.10,0.00,43.80,21.70,50.00,"Nível 2",0.00,16.70,33.30,50.00,0.00,0.00,2.60,3.10,100.00,0.00
26176203,37.50,0.00,42.00,0.00,20.50,27.00,86.70,"Nível 3",0.00,20.00,40.00,33.30,6.70,0.00,NULL,15.30,95.20,4.80
26176211,44.10,0.00,27.00,11.20,17.70,39.80,85.70,"Nível 3",0.00,0.00,85.70,9.50,4.80,0.00,2.80,8.00,91.20,8.60
26176220,48.80,0.00,32.50,6.30,12.40,32.90,80.00,"Nível 3",0.00,4.00,44.00,44.00,4.00,4.00,3.10,15.70,88.70,11.30
26176238,63.20,0.00,36.80,0.00,0.00,40.30,92.90,"Nível 3",0.00,7.20,60.70,32.10,0.00,0.00,NULL,9.30,96.80,3.00
26176246,69.90,0.00,25.60,4.50,0.00,38.70,100.00,"Nível 3",0.00,0.00,42.40,53.80,3.80,0.00,3.60,10.60,89.80,10.20
26176254,31.40,7.80,15.70,21.60,23.50,39.40,76.90,"Nível 3",0.00,0.00,46.10,38.50,7.70,7.70,NULL,8.60,98.40,1.60
26176262,57.20,0.00,39.50,3.30,0.00,36.60,100.00,"Nível 3",0.00,4.40,47.80,34.80,8.70,4.30,3.70,9.80,97.00,3.00
26176530,46.20,0.00,15.40,0.00,38.40,17.70,54.50,"Nível 4",0.00,9.10,0.00,54.50,27.30,9.10,2.60,13.20,86.30,13.70
26176882,60.50,0.00,34.20,0.00,5.30,40.90,95.70,"Nível 3",0.00,0.00,56.60,39.10,0.00,4.30,NULL,6.30,95.90,4.10
26176904,41.40,0.00,31.00,0.00,27.60,14.30,80.00,"Nível 1",0.00,20.00,20.00,40.00,20.00,0.00,3.40,9.30,86.00,14.00
26177013,51.00,0.00,49.00,0.00,0.00,39.10,100.00,"Nível 2",0.00,16.70,33.30,44.40,5.60,0.00,3.70,12.80,94.50,5.50
26177536,42.90,0.00,32.10,0.00,25.00,9.30,62.50,"Nível 4",0.00,0.00,37.50,37.50,12.50,12.50,NULL,7.10,100.00,0.00
26177552,51.30,0.00,15.40,15.40,17.90,36.00,72.70,"Nível 4",0.00,9.10,0.00,63.60,9.10,18.20,3.70,10.20,94.40,5.60
26177790,33.30,0.00,66.70,0.00,0.00,8.00,100.00,"Nível 5",50.00,0.00,50.00,0.00,0.00,0.00,2.90,0.00,100.00,0.00
26177919,48.60,0.00,27.00,8.10,16.30,22.30,83.30,"Nível 2",0.00,25.00,25.00,25.00,16.70,8.30,2.50,16.40,95.50,1.50
26177927,42.20,0.00,53.40,0.00,4.40,26.40,96.40,"Nível 5",0.00,0.00,32.10,35.70,17.90,14.30,4.10,16.20,97.00,3.00
26178028,73.10,0.00,26.90,0.00,0.00,35.10,100.00,"Nível 2",0.00,13.60,18.20,40.90,18.20,9.10,3.40,8.30,97.30,2.70
26178079,41.00,6.80,39.80,12.40,0.00,28.50,100.00,"Nível 5",0.00,11.20,25.90,37.00,7.40,18.50,3.80,31.10,89.70,10.30
26178087,70.50,0.00,29.50,0.00,0.00,34.40,100.00,"Nível 2",0.00,4.70,61.90,28.60,4.80,0.00,3.40,9.00,95.80,4.20
26178095,51.90,0.00,40.50,2.10,5.50,39.80,94.10,"Nível 3",6.00,2.90,67.60,20.60,2.90,0.00,4.20,6.50,94.80,5.20
26178176,57.20,0.00,37.50,5.30,0.00,37.60,100.00,"Nível 4",0.00,3.90,69.20,26.90,0.00,0.00,3.80,10.60,93.60,6.40
26178192,46.70,0.00,53.30,0.00,0.00,35.90,100.00,"Nível 2",0.00,12.50,70.80,16.70,0.00,0.00,4.90,5.00,88.70,11.30
26178222,53.20,0.00,46.80,0.00,0.00,38.10,100.00,"Nível 2",0.00,0.00,85.00,10.00,5.00,0.00,3.90,13.10,95.20,4.80
26178230,68.80,0.00,31.20,0.00,0.00,41.80,96.20,"Nível 3",0.00,0.00,80.80,15.40,3.80,0.00,3.20,5.00,98.00,1.80
26178435,53.80,0.00,46.20,0.00,0.00,39.00,100.00,"Nível 2",0.00,3.50,58.60,37.90,0.00,0.00,4.50,7.50,97.10,2.90
26178656,45.10,1.00,53.90,0.00,0.00,40.90,100.00,"Nível 2",0.00,0.00,48.00,32.00,12.00,8.00,3.80,6.70,95.00,5.00
26178699,65.00,0.00,35.00,0.00,0.00,38.70,100.00,"Nível 2",0.00,0.00,81.50,7.40,11.10,0.00,4.00,9.60,95.00,5.00
26178702,44.80,0.00,52.40,2.80,0.00,33.60,100.00,"Nível 2",0.00,5.50,55.60,38.90,0.00,0.00,3.20,10.00,84.90,15.10
26179199,81.10,0.00,18.90,0.00,0.00,50.80,100.00,"Nível 3",0.00,0.00,19.90,66.70,6.70,6.70,4.00,2.30,98.40,1.60
26179393,75.00,0.00,12.50,12.50,0.00,44.00,100.00,"Nível 2",0.00,0.00,52.20,17.40,26.10,4.30,3.20,4.00,98.30,1.70
26179474,38.50,0.00,47.30,3.00,11.20,32.10,90.90,"Nível 2",0.00,4.60,59.10,22.70,13.60,0.00,3.70,10.10,92.90,7.10
26179610,65.40,0.00,30.80,3.80,0.00,37.50,100.00,"Nível 2",0.00,9.50,61.90,28.60,0.00,0.00,3.60,10.20,92.50,7.50
26179679,50.00,0.00,25.00,25.00,0.00,25.30,100.00,"Nível 4",0.00,14.30,0.00,85.70,0.00,0.00,3.70,22.40,88.60,7.10
26179806,48.20,1.50,49.70,0.60,0.00,37.30,100.00,"Nível 2",0.00,8.40,83.30,8.30,0.00,0.00,4.40,3.60,96.30,3.70
26179857,83.90,0.00,16.10,0.00,0.00,32.60,100.00,"Nível 2",0.00,11.10,61.10,27.80,0.00,0.00,3.60,5.80,86.70,13.30
26179873,46.20,0.00,39.10,14.70,0.00,40.00,100.00,"Nível 4",0.00,0.00,84.20,15.80,0.00,0.00,3.70,11.50,95.50,4.50
26179997,50.80,0.00,35.40,0.00,13.80,41.80,84.60,"Nível 2",0.00,0.00,57.70,30.80,3.80,7.70,3.70,9.30,95.00,5.00
26180200,71.40,0.00,20.80,7.80,0.00,39.30,100.00,"Nível 2",0.00,3.70,55.60,22.20,18.50,0.00,4.10,12.10,92.40,7.60
26180715,33.30,8.30,16.70,8.30,33.40,5.70,66.70,"Nível 2",33.40,0.00,33.30,25.00,8.30,0.00,2.50,5.90,94.10,5.90
26180863,61.30,6.50,24.20,0.00,8.00,39.50,93.80,"Nível 3",0.00,0.00,31.20,50.00,18.80,0.00,3.60,14.60,89.50,8.60
26181215,15.40,0.00,11.50,15.40,57.70,21.50,44.40,"Nível 4",0.00,0.00,22.30,33.30,11.10,33.30,2.90,18.60,97.60,2.40
26181231,80.00,0.00,13.30,4.00,2.70,22.80,94.70,"Nível 3",0.00,15.80,36.80,42.10,5.30,0.00,4.30,4.40,97.40,2.60
26181266,56.70,0.00,14.40,5.80,23.10,30.30,78.30,"Nível 2",0.00,0.00,34.80,52.20,13.00,0.00,2.30,6.60,94.50,5.50
26181282,67.20,0.00,32.80,0.00,0.00,36.40,100.00,"Nível 3",0.00,0.00,52.60,42.10,5.30,0.00,2.90,9.30,98.60,1.40
26181320,65.80,0.00,34.20,0.00,0.00,22.40,100.00,"Nível 4",0.00,0.00,16.70,33.30,41.70,8.30,2.80,45.10,90.90,8.60
26181363,23.10,0.00,23.10,0.00,53.80,16.00,42.90,"Nível 3",0.00,0.00,0.00,85.70,0.00,14.30,2.40,6.30,87.50,12.50
26181649,43.00,0.00,48.20,7.90,0.90,24.20,96.20,"Nível 5",0.00,0.00,15.50,61.50,19.20,3.80,NULL,48.30,99.50,0.50
26181673,17.60,8.80,8.80,0.00,64.80,38.30,40.00,"Nível 4",0.00,20.00,40.00,30.00,10.00,0.00,NULL,5.20,97.30,0.90
26182084,51.40,0.00,48.60,0.00,0.00,21.00,100.00,"Nível 5",0.00,0.00,0.00,44.50,33.30,22.20,NULL,22.20,94.70,5.30
26182092,56.70,0.00,43.30,0.00,0.00,32.40,100.00,"Nível 4",0.00,0.00,27.20,27.30,36.40,9.10,NULL,46.90,98.60,1.40
26182106,34.50,0.00,65.50,0.00,0.00,34.40,100.00,"Nível 3",0.00,23.10,53.80,23.10,0.00,0.00,NULL,15.10,90.20,9.80
26182211,51.40,0.00,42.90,0.00,5.70,24.00,92.90,"Nível 2",0.00,0.00,21.50,35.70,21.40,21.40,3.80,4.20,93.10,6.90
26183021,74.10,0.00,25.90,0.00,0.00,36.90,95.80,"Nível 3",0.00,8.30,45.80,41.70,0.00,4.20,NULL,12.80,94.70,5.30
26183030,43.10,0.00,52.30,4.60,0.00,29.20,100.00,"Nível 4",11.00,5.60,16.70,38.90,11.10,16.70,NULL,32.20,96.40,1.70
26183358,63.50,0.00,7.70,15.40,13.40,39.30,85.70,"Nível 3",0.00,7.20,35.70,35.70,7.10,14.30,NULL,7.60,95.90,4.10
26183366,50.00,25.00,0.00,0.00,25.00,30.00,75.00,"Nível 4",0.00,0.00,0.00,75.00,0.00,25.00,NULL,3.30,100.00,0.00
26183935,33.30,16.70,25.00,25.00,0.00,18.00,100.00,"Nível 4",15.40,0.00,7.70,69.20,7.70,0.00,NULL,5.60,75.00,25.00
26184419,44.20,1.20,24.40,8.10,22.10,36.20,75.00,"Nível 2",0.00,4.10,12.50,41.70,25.00,16.70,2.80,8.80,93.90,5.20
26184478,17.40,0.00,21.70,0.00,60.90,19.50,42.90,"Nível 4",0.00,14.30,57.10,28.60,0.00,0.00,NULL,15.40,100.00,0.00
26184559,61.50,0.00,23.10,7.70,7.70,24.00,91.70,"Nível 2",0.00,0.00,25.00,50.00,25.00,0.00,NULL,20.80,93.10,6.90
26184699,39.50,0.00,60.50,0.00,0.00,35.00,100.00,"Nível 2",0.00,80.00,0.00,20.00,0.00,0.00,NULL,63.60,94.70,5.30
26184834,74.70,0.00,22.80,0.00,2.50,36.70,94.70,"Nível 3",0.00,0.00,15.80,78.90,5.30,0.00,NULL,2.30,97.70,2.30
26185059,30.70,0.00,52.80,2.50,14.00,36.80,90.00,"Nível 4",0.00,5.00,15.00,55.00,15.00,10.00,NULL,37.30,95.60,2.30
26185091,46.50,5.60,28.20,0.00,19.70,22.80,78.30,"Nível 4",0.00,0.00,8.70,60.90,26.10,4.30,NULL,7.70,98.60,1.40
26185113,30.40,0.00,69.60,0.00,0.00,35.40,100.00,"Nível 3",0.00,0.00,50.00,41.70,8.30,0.00,NULL,15.30,91.90,8.10
26185660,41.70,0.00,58.30,0.00,0.00,41.50,90.90,"Nível 4",0.00,18.10,36.40,36.40,0.00,9.10,NULL,7.20,99.40,0.60
26185725,43.70,0.00,56.30,0.00,0.00,38.30,100.00,"Nível 2",0.00,20.00,40.00,40.00,0.00,0.00,NULL,43.00,84.50,1.80
26185741,33.30,0.00,41.70,16.70,8.30,29.50,88.90,"Nível 2",0.00,55.60,22.20,22.20,0.00,0.00,NULL,26.30,94.70,5.30
26185750,50.00,0.00,50.00,0.00,0.00,43.80,100.00,"Nível 2",0.00,10.00,80.00,10.00,0.00,0.00,NULL,14.90,95.90,4.10
26185806,58.30,0.00,41.70,0.00,0.00,44.30,100.00,"Nível 2",0.00,8.40,58.30,25.00,8.30,0.00,NULL,12.40,95.40,4.60
26185938,50.00,8.30,41.70,0.00,0.00,36.30,100.00,"Nível 2",0.00,88.90,0.00,11.10,0.00,0.00,NULL,24.80,90.30,9.70
26185946,50.00,0.00,41.70,8.30,0.00,42.80,100.00,"Nível 2",0.00,9.10,72.70,18.20,0.00,0.00,NULL,8.80,100.00,0.00
26186004,61.50,0.00,30.80,0.00,7.70,37.00,92.90,"Nível 2",0.00,35.70,14.30,42.90,7.10,0.00,NULL,15.50,83.60,15.00
26186217,50.00,8.30,33.30,0.00,8.40,17.50,87.50,"Nível 2",0.00,0.00,62.50,25.00,0.00,12.50,NULL,2.90,97.10,2.90
26186225,31.90,0.00,36.20,20.30,11.60,30.80,88.90,"Nível 3",0.00,16.60,27.80,33.30,16.70,5.60,NULL,6.50,95.80,4.20
26186241,66.10,3.60,28.10,2.20,0.00,44.30,100.00,"Nível 4",0.00,0.00,59.10,36.40,4.50,0.00,NULL,19.60,93.00,7.00
26186896,61.50,0.00,26.90,11.60,0.00,7.00,100.00,"Nível 2",16.70,11.10,38.90,22.20,11.10,0.00,NULL,0.00,100.00,0.00
26197405,69.50,0.00,23.70,0.00,6.80,20.00,89.30,"Nível 2",0.00,3.60,46.40,39.30,3.60,7.10,2.80,6.70,84.20,15.80
26205602,68.30,5.90,14.90,0.00,10.90,24.30,90.00,"Nível 4",0.00,0.00,5.00,70.00,10.00,15.00,2.80,7.50,100.00,0.00
26213800,49.40,0.00,50.60,0.00,0.00,31.20,100.00,"Nível 4",0.00,11.00,55.60,16.70,16.70,0.00,3.20,40.80,75.20,10.60
26224658,81.30,0.00,0.00,0.00,18.70,23.30,83.30,"Nível 4",0.00,16.70,16.70,33.30,33.30,0.00,3.60,10.00,97.10,2.90
26289601,15.40,0.00,23.10,0.00,61.50,19.80,33.30,"Nível 4",0.00,0.00,16.60,66.70,16.70,0.00,3.60,3.80,96.20,3.80
26305615,36.80,0.00,54.70,0.00,8.50,29.40,93.30,"Nível 3",6.60,6.70,40.00,40.00,6.70,0.00,3.30,29.60,98.40,1.60
26320614,56.40,0.00,15.40,28.20,0.00,43.70,100.00,"Nível 2",0.00,8.40,8.30,41.70,33.30,8.30,2.60,10.70,95.30,4.70
26323613,80.80,13.90,2.60,2.70,0.00,22.20,93.80,"Nível 5",6.20,0.00,18.80,62.50,12.50,0.00,3.40,14.70,76.20,14.10
26366614,46.20,0.00,53.80,0.00,0.00,31.30,100.00,"Nível 2",0.00,12.40,43.80,37.50,0.00,6.30,3.30,13.20,91.70,6.70
26399636,46.30,0.00,26.80,0.00,26.90,23.70,73.30,"Nível 4",0.00,6.60,6.70,46.70,26.70,13.30,3.60,7.00,100.00,0.00
26400618,41.70,0.00,25.00,0.00,33.30,4.70,71.40,"Nível 5",0.00,0.00,0.00,28.50,28.60,42.90,4.70,50.00,100.00,0.00
26408643,49.00,0.00,32.70,18.30,0.00,38.30,100.00,"Nível 2",0.00,0.00,50.00,42.90,7.10,0.00,4.00,4.60,93.80,6.20
26413817,47.90,0.00,47.90,2.10,2.10,29.30,93.30,"Nível 5",0.00,0.00,0.00,66.70,20.00,13.30,3.10,65.80,78.50,21.50
26419823,17.10,0.00,34.30,25.70,22.90,24.30,75.00,"Nível 2",0.00,100.00,0.00,0.00,0.00,0.00,2.50,56.20,96.90,3.10
26419831,27.80,0.00,38.90,0.00,33.30,21.30,71.40,"Nível 4",0.00,14.30,71.40,14.30,0.00,0.00,2.90,68.80,89.40,10.60
26426714,48.30,0.00,16.70,0.00,35.00,13.40,70.00,"Nível 3",0.00,10.00,0.00,90.00,0.00,0.00,3.30,29.90,87.50,4.70
26440733,61.50,0.00,15.40,15.40,7.70,38.30,91.70,"Nível 2",0.00,0.00,33.30,41.70,25.00,0.00,2.60,7.00,85.20,13.90
26441713,55.70,2.90,11.40,14.30,15.70,38.60,88.20,"Nível 4",0.00,5.80,11.80,70.60,5.90,5.90,3.20,8.80,100.00,0.00
26445727,8.00,8.00,24.00,4.00,56.00,12.00,30.00,"Nível 4",0.00,0.00,20.00,60.00,20.00,0.00,2.90,16.70,100.00,0.00
26447738,16.70,0.00,33.30,0.00,50.00,7.00,50.00,"Nível 4",0.00,0.00,49.90,16.70,16.70,16.70,3.10,14.30,85.70,14.30
26450720,38.50,0.00,7.70,0.00,53.80,36.00,50.00,"Nível 4",0.00,25.00,16.70,50.00,0.00,8.30,3.10,12.00,93.50,6.50
26500710,36.90,0.00,30.60,18.00,14.50,43.00,88.50,"Nível 2",0.00,0.00,34.70,53.80,11.50,0.00,3.20,7.40,97.30,2.70
26525720,51.30,0.00,48.70,0.00,0.00,35.50,96.20,"Nível 3",0.00,3.90,65.40,26.90,3.80,0.00,3.80,5.90,93.30,6.70
26525780,36.50,0.00,46.00,17.50,0.00,33.30,100.00,"Nível 3",0.00,15.40,53.80,30.80,0.00,0.00,3.50,17.00,88.20,10.70
26525798,54.50,0.00,27.60,17.90,0.00,41.90,90.90,"Nível 3",0.00,0.00,45.50,50.00,0.00,4.50,3.10,8.30,96.90,2.90
26525801,52.60,0.00,44.70,2.70,0.00,36.80,93.90,"Nível 3",0.00,18.20,39.40,39.40,3.00,0.00,3.50,6.80,94.80,5.20
26525810,57.90,0.00,42.10,0.00,0.00,39.20,100.00,"Nível 3",0.00,0.00,16.00,84.00,0.00,0.00,4.10,6.20,94.00,6.00
26525828,63.20,0.00,33.30,3.50,0.00,40.20,100.00,"Nível 3",0.00,7.50,44.40,40.70,7.40,0.00,3.40,8.50,93.40,6.60
26525836,48.50,5.10,38.40,0.00,8.00,28.90,94.40,"Nível 3",0.00,16.70,33.30,50.00,0.00,0.00,2.90,12.60,93.30,6.20
26525852,67.00,0.00,33.00,0.00,0.00,28.40,100.00,"Nível 2",0.00,16.70,33.30,41.70,0.00,8.30,3.40,14.60,96.40,3.60
